1password 8.10.60-27
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.1-2
perl-algorithm-diff 1:1.201-6
perl-class-method-modifiers 2.15-4
perl-clone 0.47-1
perl-data-optlist 0.114-4
perl-devel-globaldestruction 0.14-11
perl-encode-locale 1.05-13
perl-error 0.17029-7
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-import-into 1.002005-11
perl-io-html 1.004-6
perl-libwww 6.77-2
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-module-runtime 0.016-4
perl-moo 2.005005-4
perl-net-http 6.23-4
perl-parallel-forkmanager 2.03-2
perl-params-util 1.102-6
perl-regexp-common 2024080801-2
perl-role-tiny 2.002004-6
perl-sub-exporter 0.991-2
perl-sub-exporter-progressive 0.001013-11
perl-sub-install 0.929-2
perl-sub-quote 1:2.006008-4
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
perl-xml-writer 0.900-4
phodav 3.0-3
pinentry 1.3.1-5
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-audio 1:1.2.7-1
pipewire-jack 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pipewire-session-manager 1:1.2.7-1
pixman 0.44.2-1
pkgconf 2.3.0-1
playerctl 2.4.1-4
polkit 126-2
polybar 3.7.2-2
poppler 25.02.0-2
poppler-data 0.4.12-2
poppler-glib 25.02.0-2
popt 1.19-2
portaudio 1:19.7.0-3
powertop 2.15-2
prettier 3.5.1-1
procps-ng 4.0.5-2
protobuf 29.2-1
psmisc 23.7-1
pugixml 1.15-1
python 3.13.2-1
python-argcomplete 3.5.3-1
python-attrs 23.2.0-4
python-babel 2.15.0-2
python-botocore 1.36.3-1
python-build 1.2.2-3
python-cachecontrol 1:0.14.2-1
python-cachy 0.3.0-11
python-cairo 1.27.0-2
python-certifi 2025.01.31-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-cleo 1:2.1.0-1
python-click 8.1.8-1
python-colorama 0.4.6-5
python-crashtest 0.4.1-4
python-cryptography 44.0.1-1
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-defusedxml 0.7.1-7
python-distlib 0.3.9-2
python-distro 1.9.0-3
python-docutils 1:0.21.2-3
python-dulwich 0.22.7-1
python-fastjsonschema 2.21.1-1
python-filelock 3.17.0-1
python-findpython 0.6.2-2
python-gobject 3.50.0-2
python-greenlet 3.1.1-2
python-html5lib 1.1-15
python-idna 3.10-2
python-installer 0.7.0-10
python-jaraco.classes 3.4.0-2
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jeepney 0.8.0-4
python-jmespath 1.0.1-5
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-keyring 25.5.0-3
python-lark-parser 1.2.2-3
python-legacy-cgi 2.6.2-1
python-lockfile 0.12.2-14
python-lxml 5.3.1-1
python-markdown-it-py 3.0.0-4
python-mdurl 0.1.2-8
python-more-itertools 10.5.0-1
python-msgpack 1.0.5-3
python-multidict 6.0.5-4
python-packaging 24.2-3
python-pbs-installer 2025.02.12-1
python-pexpect 4.9.0-4
python-pip 25.0.1-1
python-pipx 1.7.1-2
python-pkginfo 1.12.0-1
python-platformdirs 4.3.6-2
python-poetry 2.1.1-1
python-poetry-core 2.1.1-1
python-poetry-plugin-export 1.9.0-1
python-psutil 7.0.0-1
python-ptyprocess 0.7.0-8
python-pyasn1 0.6.0-2
python-pycparser 2.22-3
python-pygments 2.19.1-1
python-pynvim 0.5.2-1
python-pyproject-hooks 1.2.0-3
python-pysocks 1.7.1-10
python-pytz 2025.1-1
python-pyxdg 0.28-4
python-rapidfuzz 3.12.1-1
python-referencing 0.35.1-3
python-requests 2.32.3-4
python-requests-toolbelt 1.0.0-3
python-rich 13.9.4-3
python-rpds-py 0.22.3-1
python-rsa 4.9-6
python-s3transfer 0.11.2-1
python-secretstorage 3.3.3-6
python-shellingham 1.5.4-3
python-shtab 1.7.1-3
python-six 1.17.0-1
python-termcolor 2.5.0-1
python-tomlkit 0.13.2-2
python-tqdm 4.67.1-2
python-trove-classifiers 2025.1.15.22-1
python-typing_extensions 4.12.2-3
python-urllib3 2.3.0-1
python-userpath 1.9.2-3
python-virtualenv 20.28.0-1
python-webencodings 0.5.1-12
python-wheel 0.45.0-3
python-xlib 0.33-4
python-yaml 6.0.2-2
python312 3.12.9-1
qemu-audio-alsa 9.2.0-2
qemu-audio-dbus 9.2.0-2
qemu-audio-jack 9.2.0-2
qemu-audio-oss 9.2.0-2
qemu-audio-pa 9.2.0-2
qemu-audio-pipewire 9.2.0-2
qemu-audio-sdl 9.2.0-2
qemu-audio-spice 9.2.0-2
qemu-base 9.2.0-2
qemu-block-curl 9.2.0-2
qemu-block-dmg 9.2.0-2
qemu-block-nfs 9.2.0-2
qemu-block-ssh 9.2.0-2
qemu-chardev-spice 9.2.0-2
qemu-common 9.2.0-2
qemu-desktop 9.2.0-2
qemu-hw-display-qxl 9.2.0-2
qemu-hw-display-virtio-gpu 9.2.0-2
qemu-hw-display-virtio-gpu-gl 9.2.0-2
qemu-hw-display-virtio-gpu-pci 9.2.0-2
qemu-hw-display-virtio-gpu-pci-gl 9.2.0-2
qemu-hw-display-virtio-vga 9.2.0-2
qemu-hw-display-virtio-vga-gl 9.2.0-2
qemu-hw-usb-host 9.2.0-2
qemu-hw-usb-redirect 9.2.0-2
qemu-hw-usb-smartcard 9.2.0-2
qemu-img 9.2.0-2
qemu-system-x86 9.2.0-2
qemu-system-x86-firmware 9.2.0-2
qemu-ui-curses 9.2.0-2
qemu-ui-dbus 9.2.0-2
qemu-ui-egl-headless 9.2.0-2
qemu-ui-gtk 9.2.0-2
qemu-ui-opengl 9.2.0-2
qemu-ui-sdl 9.2.0-2
qemu-ui-spice-app 9.2.0-2
qemu-ui-spice-core 9.2.0-2
qemu-vhost-user-gpu 9.2.0-2
qpwgraph 0.8.1-1
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-location 5.15.16+kde+r7-4
qt5-remoteobjects 5.15.16-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-6
qt5-x11extras 5.15.16-3
qt6-base 6.8.2-3
qt6-declarative 6.8.2-1
qt6-svg 6.8.2-1
qt6-translations 6.8.2-1
qt6-wayland 6.8.2-1
raptor 2.0.16-6
rasqal 1:0.9.33-7
rav1e 0.7.1-1
re2 1:20240702-2
readline 8.2.013-1
redland 1:1.0.17-9
reflector 2023-3
ripgrep 14.1.1-1
rnnoise 1:0.2-1
rofi 1.7.8-2
rtkit 0.13-3
rubberband 4.0.0-1
run-parts 5.17-1
runc 1.2.5-1
rust 1:1.84.1-1
safeeyes 2.2.2-3
sassc 3.6.2-5
sbc 2.0-2
scrot 1.11.1-1
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.50-1
sdl2_image 2.8.5-1
sdl3 3.2.4-1
seabios 1.16.3-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.1-1
serd 0.32.4-1
shaderc 2024.4-1
shadow 4.16.0-1
shared-mime-info 2.4-1
shellcheck 0.10.0-24
slang 2.3.3-3
slop 7.6-6
smbclient 2:4.21.4-1
snapd 2.67-2
snappy 1.2.1-2
sndio 1.10.0-1
snixembed 0.3.3-1
snixembed-debug 0.3.3-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
source-highlight 3.1.9-14
spdlog 1.15.1-1
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.15.2-1
spice-gtk 0.42-4
spice-protocol 0.14.4-2
spirv-tools 2024.4.rc2-1
sqlite 3.49.1-1
squashfs-tools 4.6.1-2
sratom 0.6.18-1
srt 1.5.4-1
starship 1.22.1-1
startup-notification 0.12-8
sudo 1.9.16.p2-2
svt-av1 2.3.0-1
systemd 257.3-1
systemd-libs 257.3-1
systemd-resolvconf 257.3-1
systemd-sysvcompat 257.3-1
taglib 2.0.2-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.13-1
teams 1.5.00.23861-1
teams-debug 1.5.00.23861-1
tecla 47.0-1
terraform 1.10.5-1
tevent 1:0.16.2-1
texinfo 7.2-1
throttled 0.10.0-4
thunar 4.20.2-1
tidal-hifi-git 5.17.0.r8.gff4c512-1
tidal-hifi-git-debug 5.17.0.r8.gff4c512-1
tinysparql 3.8.2-3
tk 8.6.16-1
tldr 3.3.0-2
tmux 3.5_a-1
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.1-1
tree-sitter-c 0.23.5-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.5.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fira-code 6.2-2
ttf-firacode-nerd 3.3.0-1
ttf-input-nerd 3.2.1-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-maple-beta 7.0_beta36-2
ttf-nerd-fonts-symbols 3.3.0-1
ttf-nerd-fonts-symbols-common 3.3.0-1
ttf-nerd-fonts-symbols-mono 3.3.0-1
ttf-noto-nerd 3.3.0-1
ttf-opensans 3.003-1
ttf-roboto 3.010-1
twolame 0.4.0-4
typescript 5.7.3-1
tzdata 2025a-1
uchardet 0.0.8-3
udisks2 2.10.1-5
ueberzugpp 2.9.6-8
unibilium 2.1.2-1
unzip 6.0-22
upower 1.90.7-1
usbredir 0.15.0-1
util-linux 2.40.4-1
util-linux-libs 2.40.4-1
v4l-utils 1.28.1-2
vala 0.56.17-1
vapoursynth R70-2
vde2 2.3.3-6
verdict 1.4.2-1
vid.stab 1.1.1-2
vim 9.1.1120-1
vim-runtime 9.1.1120-1
virglrenderer 1.0.1-2
virtiofsd 1.13.1-1
visual-studio-code-bin 1.97.1-1
visual-studio-code-bin-debug 1.97.1-1
viu 1.5.1-1
vmaf 3.0.0-1
volume_key 0.3.12-10
vte-common 0.78.3-2
vte3 0.78.3-2
vte4 0.78.3-2
vulkan-headers 1:1.4.303-1
vulkan-icd-loader 1.4.303-1
vulkan-intel 1:24.3.4-1
vulkan-tools 1.4.303-2
wavpack 5.8.1-1
waybar 0.11.0-6
wayland 1.23.1-1
wayland-protocols 1.41-1
wdiff 1.2.2-5
webkit2gtk-4.1 2.46.6-2
webkitgtk-6.0 2.46.6-2
webrtc-audio-processing-1 1.3-4
wezterm 20240203.110809.5046fc22-2
wget 1.25.0-1
which 2.21-6
whois 5.5.23-1
wireguard-tools 1.0.20210914-2
wireplumber 0.5.8-1
wl-clipboard 1:2.2.1-2
woff2 1.0.2-5
wofi 1.4.1-1
wolfssl 5.7.6-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-6
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.18.4-2
xdg-desktop-portal-gnome 47.3-1
xdg-desktop-portal-gtk 1.15.2-1
xdg-desktop-portal-hyprland 1.3.9-5
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-input-libinput 1.5.0-1
xf86-video-intel 1:2.99.917+923+gb74b67f0-2
xf86-video-vesa 2.6.0-2
xfconf 4.20.0-2
xfsprogs 6.13.0-1
xkeyboard-config 2.44-1
xmlsec 1.3.7-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-server-devel 21.1.15-1
xorg-server-xephyr 21.1.15-1
xorg-server-xnest 21.1.15-1
xorg-server-xvfb 21.1.15-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-util-macros 1.20.2-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.3-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xlsfonts 1.0.8-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.5-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xsel 1.2.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.6.4-1
yajl 2.1.0-6
yay 12.4.2-1
yay-debug 12.4.2-1
yazi 25.2.11-1
yyjson 0.10.0-1
z 1.12-1
zed 0.174.6-1
zellij 0.41.2-1
zen-browser-bin 1.7.6b-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zita-convolver 4.0.3-4
zix 0.6.2-1
zlib 1:1.3.1-2
zoom 6.3.10-1
zoxide 0.9.7-1
zsh 5.9-5
zstd 1.5.6-1
zxing-cpp 2.3.0-4
